xnf,xf,ynf,yf,znf,zf
9.69,89.27,89.27
86.51,86.38,0.58,1.65,89.96,89.90
6.37,5.32,89.69,89.74
85.62,85.78,9.85,9.54,89.24,89.29
85.19,85.24,8.60,8.69,89.27,89.27
86.51,86.38,0.58,1.65,89.96,89.90
6.37,5.32,89.69,89.74
85.62,85.78,9.85,9.54,89.24,89.29
85.19,85.24,8.60,8.69,89.27,89.27
86.51,86.38,0.58,1.65,89.96,89.90
91.87,91.87,187.81,187.81,90.26,90.26
86.36,86.86,7.59,7.57,89.51,89.58
77.68,78.56,359.45,359.67,90.12,90.07
79.18,79.11,0.73,0.61,89.86,89.88
81.01,80.83,9.65,8.61,88.46,88.60
90.67,89.66,137.33,64.15,89.38,89.30
87.45,87.67,7.29,8.88,89.67,89.64
87.21,87.26,353.13,354.45,90.34,90.27
84.52,84.79,4.91,4.38,89.53,89.60
82.81,83.01,5.85,5.74,89.26,89.29
85.32,85.09,20.29,18.33,88.27,88.37
88.04,87.75,35.85,32.63,88.58,88.56
86.13,86.30,341.07,344.39,91.33,91.03
90.78,90.35,209.92,235.53,90.45,90.51
92.17,91.98,184.12,185.54,90.16,90.19
93.35,93.22,173.71,174.41,89.63,89.69
89.48,89.84,47.90,73.64,89.42,89.45
81.21,82.05,6.30,6.67,89.02,89.06
76.65,77.20,358.32,358.86,90.40,90.26
79.21,79.01,9.21,8.07,88.23,88.42
87.25,86.37,356.79,0.45,90.15,89.97
87.34,87.24,18.24,16.08,89.12,89.21
90.96,90.59,145.15,131.12,89.33,89.32
82.95,83.75,0.78,1.43,89.90,89.84
85.31,85.16,7.86,7.08,89.35,89.40
86.97,86.79,358.22,359.61,90.09,90.02
87.08,87.05,6.36,5.63,89.67,89.71
90.69,90.33,197.69,207.15,90.22,90.17
89.61,89.68,359.18,355.93,90.01,90.02
91.21,91.06,174.13,174.08,89.88,89.89
88.39,88.64,26.86,28.88,89.19,89.25
78.71,79.75,1.16,1.58,89.77,89.71
80.68,80.59,4.33,4.04,89.29,89.33
81.15,81.09,5.82,5.62,89.09,89.12
87.58,86.93,16.55,13.44,89.28,89.26
89.74,89.46,73.28,57.95,89.13,89.14
87.20,87.43,351.62,353.72,90.41,90.28
88.05,87.99,31.62,27.77,88.80,88.94
85.22,85.51,2.18,3.48,89.82,89.73
87.32,87.14,357.36,358.32,90.12,90.08
88.15,88.05,6.05,4.92,89.80,89.83
89.64,89.48,10.54,8.43,89.93,89.92
90.17,90.10,177.14,171.20,89.99,89.98
85.26,85.72,4.27,4.30,89.65,89.68
80.09,80.67,359.53,359.76,90.08,90.04
79.42,79.54,6.92,6.31,88.70,88.83
83.06,82.70,8.40,8.10,88.97,88.96
88.13,87.59,24.68,19.95,89.14,89.12
90.12,89.87,98.05,81.48,89.15,89.15
86.86,87.18,4.50,6.28,89.75,89.69
86.46,86.53,3.40,3.63,89.79,89.78
86.11,86.15,5.35,5.19,89.64,89.65
85.91,85.93,6.83,6.67,89.51,89.52
89.29,88.95,36.44,26.53,89.47,89.48
90.46,90.30,164.66,151.50,89.87,89.83
90.36,90.35,214.20,209.83,90.24,90.20
84.18,84.76,14.43,14.32,88.50,88.66
79.12,79.72,356.42,357.42,90.69,90.47
78.63,78.73,7.46,6.62,88.49,88.68
84.28,83.71,2.53,3.29,89.75,89.64
85.69,85.49,8.43,7.72,89.36,89.39
90.02,89.58,93.16,44.07,89.61,89.59
85.14,85.60,357.80,358.39,90.19,90.12
87.30,87.14,29.56,25.58,88.47,88.63
84.04,84.35,3.10,4.33,89.68,89.57
85.84,85.69,352.34,353.89,90.56,90.46
89.20,88.84,323.55,333.51,90.59,90.58
91.55,91.27,188.56,191.95,90.23,90.27
95.44,95.03,168.69,169.25,88.91,89.04
91.05,91.43,135.67,144.55,88.97,88.98
87.17,87.54,18.96,21.66,89.03,89.02
67.42,69.82,356.81,357.20,91.33,91.03
77.55,76.86,10.17,8.45,87.73,88.02
85.49,84.55,14.98,13.30,88.79,88.71
92.09,91.36,152.85,141.19,88.93,88.91
91.51,91.49,177.54,173.61,89.94,89.83
81.46,82.52,356.59,356.66,90.51,90.44
87.38,86.94,25.93,20.08,88.72,88.88
83.38,83.76,4.55,5.40,89.47,89.41
88.95,88.44,53.83,41.01,88.56,88.65
89.98,89.82,45.00,41.48,89.98,89.84
89.05,89.13,313.36,314.46,91.01,90.89
90.24,90.13,116.30,110.42,89.52,89.65
82.51,83.25,9.32,9.61,88.76,88.85
80.25,80.55,5.03,5.37,89.13,89.10
80.17,80.20,5.52,5.51,89.04,89.05
86.87,86.19,358.54,0.38,90.08,89.98
88.79,88.53,36.04,28.44,89.12,89.20
88.93,88.89,36.68,35.68,89.20,89.20
87.21,87.38,7.23,8.64,89.65,89.60
86.58,86.66,5.17,5.45,89.69,89.68
87.12,87.07,1.30,1.78,89.93,89.91
86.53,86.59,3.70,3.53,89.78,89.79
87.93,87.79,20.44,17.97,89.23,89.28
86.28,86.43,10.79,11.25,89.29,89.29
83.92,84.17,359.26,360.00,90.08,90.00
82.73,82.87,358.37,358.50,90.21,90.19
